sales_date;sku_id;store_id;sales_count;price;promo
2024-09-12 00:00:00;1020;4;12;37374;FALSE
2024-06-11 00:00:00;1060;2;8;35518;TRUE
2024-07-30 00:00:00;1065;1;9;1764;FALSE
2024-06-05 00:00:00;1049;5;22;30107;FALSE
2024-05-28 00:00:00;1043;3;12;45397;TRUE
2024-03-06 00:00:00;1087;4;19;36496;FALSE
2024-05-12 00:00:00;1034;5;7;26099;TRUE
2024-06-26 00:00:00;1067;5;22;29849;FALSE
2024-05-22 00:00:00;1045;3;27;35162;FALSE
2024-06-16 00:00:00;1095;5;26;43152;TRUE
2024-04-24 00:00:00;1059;1;5;43042;TRUE
2024-10-13 00:00:00;1097;3;16;17353;TRUE
2024-04-09 00:00:00;1023;1;10;10501;FALSE
2024-09-11 00:00:00;1032;3;30;37763;TRUE
2024-05-01 00:00:00;1092;4;17;6215;FALSE
2024-04-16 00:00:00;1077;3;13;39796;TRUE
2024-09-22 00:00:00;1033;1;4;15380;TRUE
2024-06-08 00:00:00;1046;3;18;11230;TRUE
2024-02-12 00:00:00;1061;3;9;23888;TRUE
2024-09-06 00:00:00;1072;5;30;16121;TRUE
2024-10-15 00:00:00;1039;4;7;7970;TRUE
2024-03-26 00:00:00;1089;4;29;41109;TRUE
2024-10-21 00:00:00;1076;1;30;31496;FALSE
2024-08-28 00:00:00;1011;3;26;20145;FALSE
2024-09-15 00:00:00;1041;3;4;47883;TRUE
2024-02-25 00:00:00;1055;4;14;13711;FALSE
2024-04-18 00:00:00;1027;1;6;20910;FALSE
2024-10-17 00:00:00;1083;3;22;22980;FALSE
2024-07-14 00:00:00;1086;2;20;34947;FALSE
2024-09-30 00:00:00;1048;3;18;4945;TRUE
2024-02-27 00:00:00;1080;4;26;40903;TRUE
2024-09-10 00:00:00;1016;3;29;24562;TRUE
2024-10-17 00:00:00;1053;4;24;6011;TRUE
2024-07-09 00:00:00;1071;4;10;34523;TRUE
2024-09-15 00:00:00;1047;5;28;13772;TRUE
2024-01-30 00:00:00;1058;3;25;47480;FALSE
2024-06-08 00:00:00;1023;5;4;7455;TRUE
2024-03-13 00:00:00;1028;5;25;19871;FALSE
2024-10-05 00:00:00;1100;1;12;49251;TRUE
2024-03-18 00:00:00;1068;5;6;10405;FALSE
2024-03-14 00:00:00;1032;4;10;47966;FALSE
2024-02-29 00:00:00;1046;4;25;37638;TRUE
2024-08-05 00:00:00;1060;1;1;1577;FALSE
2024-06-14 00:00:00;1005;2;20;15176;TRUE
2024-04-12 00:00:00;1017;2;26;22422;FALSE
2024-06-05 00:00:00;1042;2;23;36015;FALSE
2024-02-23 00:00:00;1024;3;7;49699;TRUE
2024-02-10 00:00:00;1033;5;12;43365;TRUE
2024-09-15 00:00:00;1047;3;1;2169;FALSE
2024-04-15 00:00:00;1059;3;17;44878;TRUE
2024-06-23 00:00:00;1077;2;25;20358;FALSE
2024-10-17 00:00:00;1052;3;4;41358;TRUE
2024-07-18 00:00:00;1064;1;24;35111;TRUE
